index,BS_LogicalFile(RFT_041LUP)_60B,DMV_LogicalFile(RFT_036LTP)_2B,DMV_LogicalFile(RFT_044LTP)_2B
1934.0093994140625,,0.0,
2024.4815673828125,12.25,,
2024.634033203125,12.25,,
2024.786376953125,12.25,,
2024.9388427734375,12.25,,
2025.0911865234375,12.25,,
2025.24365234375,12.25,,
2025.39599609375,12.25,,
2025.5484619140625,12.25,,
2025.7008056640625,12.25,,
2025.853271484375,12.25,,
2026.005615234375,12.25,,
2026.157958984375,12.25,,
2026.3104248046875,12.25,,
2026.4627685546875,12.25,,
2026.615234375,12.25,,
2026.767578125,12.25,,
2026.9200439453125,12.25,,
2027.0723876953125,12.25,,
2027.224853515625,12.25,,
2027.377197265625,12.25,,
2027.5296630859375,12.25,,
2027.6820068359375,12.25,,
2027.83447265625,12.25,,
2027.98681640625,12.25,,
2028.13916015625,12.25,,
2028.2916259765625,12.25,,
2028.4439697265625,12.25,,
2028.596435546875,12.25,,
2028.748779296875,12.25,,
2028.9012451171875,12.25,,
2029.0535888671875,12.25,,
2029.2060546875,12.25,,
2029.3583984375,12.25,,
2029.5108642578125,12.25,,
2029.6632080078125,12.25,,
2029.8155517578125,12.25,,
2029.968017578125,12.25,,
2030.120361328125,12.25,,
2030.2728271484375,12.25,,
2030.4251708984375,12.25,,
2030.57763671875,12.25,,
2030.72998046875,12.25,,
2030.8824462890625,12.25,,
2031.0347900390625,12.25,,
2031.187255859375,12.25,,
2031.339599609375,12.25,,
2031.4920654296875,12.25,,
2031.6444091796875,12.25,,
2031.7967529296875,12.25,,
2031.94921875,12.25,,
2032.1015625,12.25,,
2032.2540283203125,12.25,,
2032.4063720703125,12.25,,
2032.558837890625,12.25,,
2032.711181640625,12.25,,
2032.8636474609375,12.25,,
2033.0159912109375,12.25,,
2033.16845703125,12.25,,
2033.32080078125,12.25,,
2033.4732666015625,12.25,,
2033.6256103515625,12.25,,
2033.7779541015625,12.25,,
2033.930419921875,12.25,,
2034.082763671875,12.25,,
2034.2352294921875,12.25,,
2034.3875732421875,12.25,,
2034.5400390625,12.25,,
2034.6923828125,12.25,,
2034.8448486328125,12.25,,
2034.9971923828125,12.25,,
2035.149658203125,12.25,,
2035.302001953125,12.25,,
2035.4544677734375,12.25,,
2035.6068115234375,12.25,,
2035.7591552734375,12.25,,
2035.91162109375,12.25,,
2036.06396484375,12.25,,
2036.2164306640625,12.25,,
2036.3687744140625,12.25,,
2036.521240234375,12.25,,
2036.673583984375,12.25,,
2036.8260498046875,12.25,,
2036.9783935546875,12.25,,
2037.130859375,12.25,,
2037.283203125,12.25,,
2037.4356689453125,12.25,,
2037.5880126953125,12.25,,
2037.7403564453125,12.25,,
2037.892822265625,12.25,,
2038.045166015625,12.25,,
2038.1976318359375,12.25,,
2038.3499755859375,12.25,,
2038.50244140625,12.25,,
2038.65478515625,12.25,,
2038.8072509765625,12.25,,
2038.9595947265625,12.25,,
2039.112060546875,12.25,,
2039.264404296875,12.25,,
2039.4168701171875,12.25,,
2039.5692138671875,12.25,,
2039.7215576171875,12.25,,
2039.8740234375,12.25,,
2040.0263671875,12.25,,
2040.1788330078125,12.25,,
2040.3311767578125,12.25,,
2040.483642578125,12.25,,
2040.635986328125,12.25,,
2040.7884521484375,12.25,,
2040.9407958984375,12.25,,
2041.09326171875,12.25,,
2041.24560546875,12.25,,
2041.3980712890625,12.25,,
2041.5504150390625,12.25,,
2041.7027587890625,12.25,,
2041.855224609375,12.25,,
2042.007568359375,12.25,,
2042.1600341796875,12.25,,
2042.3123779296875,12.25,,
2042.46484375,12.25,,
2042.6171875,12.25,,
2042.7696533203125,12.25,,
2042.9219970703125,12.25,,
2043.074462890625,12.25,,
2043.226806640625,12.25,,
2043.3792724609375,12.25,,
2043.5316162109375,12.25,,
2043.6839599609375,12.25,,
2043.83642578125,12.25,,
2043.98876953125,12.25,,
2044.1412353515625,12.25,,
2044.2935791015625,12.25,,
2044.446044921875,12.25,,
2044.598388671875,12.25,,
2044.7508544921875,12.25,,
2044.9031982421875,12.25,,
2045.0556640625,12.25,,
2045.2080078125,12.25,,
2045.3604736328125,12.25,,
2045.5128173828125,12.25,,
2045.6651611328125,12.25,,
2045.817626953125,12.25,,
2045.969970703125,12.25,,
2046.1224365234375,12.25,,
2046.2747802734375,12.25,,
2046.42724609375,12.25,,
2046.57958984375,12.25,,
2046.7320556640625,12.25,,
